,alldim,dim8,dim16,dim32,dim64
H1,0.08,0.17,0.09,0.05,0.18
H2,0.11,0.16,0.12,0.17,0.26
H3,0.25,0.34,0.3,0.35,0.35
H4,0.56,0.33,0.49,0.43,0.21
A,0.49,0.47,0.51,0.51,0.55
B,0.51,0.53,0.49,0.49,0.45
8,0.04,1.0,0.0,0.0,0.0
16,0.22,0.0,1.0,0.0,0.0
32,0.46,0.0,0.0,1.0,0.0
64,0.28,0.0,0.0,0.0,1.0
10,0.0,0.13,0.05,0.02,0.0
100,0.66,0.51,0.58,0.65,0.64
1000,0.34,0.36,0.37,0.33,0.36
1.0,0.27,0.81,0.52,0.36,0.2
2.0,0.46,0.15,0.47,0.46,0.4
4.0,0.27,0.04,0.01,0.18,0.4
fixed,0.48,0.49,0.46,0.47,0.44
max,0.52,0.51,0.54,0.53,0.56
L0,0.22,0.26,0.19,0.23,0.19
L1,0.42,0.39,0.39,0.41,0.52
L2,0.36,0.35,0.42,0.36,0.29
