,alldim,dim8,dim16,dim32,dim64
H1,0.34,0.27,0.25,0.27,0.28
H2,0.33,0.27,0.29,0.28,0.26
H3,0.15,0.29,0.23,0.23,0.19
H4,0.18,0.17,0.23,0.22,0.27
A,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,0.0,0.0
16,0.1,0.0,1.0,0.0,0.0
32,0.39,0.0,0.0,1.0,0.0
64,0.51,0.0,0.0,0.0,1.0
10,0.24,0.41,0.41,0.35,0.06
100,0.68,0.37,0.52,0.57,0.64
1000,0.08,0.22,0.07,0.08,0.3
1.0,0.49,0.39,0.42,0.42,0.39
2.0,0.26,0.35,0.33,0.39,0.34
4.0,0.25,0.26,0.25,0.19,0.27
fixed,0.37,0.55,0.54,0.49,0.48
max,0.63,0.45,0.46,0.51,0.52
L0,0.1,0.23,0.16,0.16,0.22
L1,0.55,0.4,0.46,0.47,0.41
L2,0.35,0.37,0.38,0.37,0.37
