,alldim,dim8,dim16,dim32,dim64
H1,0.35,0.27,0.27,0.3,0.27
H2,0.32,0.28,0.29,0.28,0.27
H3,0.13,0.26,0.23,0.23,0.18
H4,0.2,0.19,0.21,0.19,0.28
A,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,0.0,0.0
16,0.14,0.0,1.0,0.0,0.0
32,0.38,0.0,0.0,1.0,0.0
64,0.48,0.0,0.0,0.0,1.0
10,0.25,0.42,0.38,0.36,0.02
100,0.69,0.47,0.55,0.55,0.68
1000,0.06,0.11,0.07,0.09,0.3
1.0,0.5,0.41,0.35,0.38,0.34
2.0,0.26,0.28,0.37,0.36,0.34
4.0,0.24,0.31,0.28,0.26,0.32
fixed,0.43,0.6,0.54,0.49,0.47
max,0.57,0.4,0.46,0.51,0.53
L0,0.12,0.31,0.24,0.16,0.29
L1,0.56,0.36,0.45,0.47,0.38
L2,0.32,0.33,0.31,0.37,0.33
