,alldim,dim8,dim16,dim32,dim64
H1,0.28,0.28,0.23,0.27,0.22
H2,0.25,0.26,0.28,0.25,0.3
H3,0.29,0.27,0.29,0.28,0.26
H4,0.18,0.19,0.2,0.2,0.22
A,1.0,1.0,1.0,1.0,1.0
8,0.13,1.0,0.0,0.0,0.0
16,0.08,0.0,1.0,0.0,0.0
32,0.32,0.0,0.0,1.0,0.0
64,0.47,0.0,0.0,0.0,1.0
10,0.15,0.45,0.34,0.27,0.1
100,0.58,0.48,0.61,0.54,0.58
1000,0.27,0.07,0.05,0.19,0.32
1.0,0.53,0.44,0.42,0.48,0.4
2.0,0.29,0.35,0.36,0.31,0.31
4.0,0.18,0.21,0.22,0.21,0.29
fixed,0.27,0.52,0.44,0.38,0.4
max,0.73,0.48,0.56,0.62,0.6
L0,0.3,0.24,0.29,0.32,0.35
L1,0.38,0.42,0.35,0.37,0.38
L2,0.32,0.34,0.36,0.31,0.27
