,alldim,dim8,dim16,dim32,dim64
H1,0.14,0.22,0.22,0.19,0.21
H2,0.39,0.21,0.24,0.27,0.22
H3,0.12,0.32,0.23,0.35,0.23
H4,0.35,0.25,0.31,0.19,0.34
A,0.54,0.51,0.63,0.49,0.53
B,0.46,0.49,0.37,0.51,0.47
8,0.03,1.0,0.0,0.0,0.0
16,0.25,0.0,1.0,0.0,0.0
32,0.37,0.0,0.0,1.0,0.0
64,0.35,0.0,0.0,0.0,1.0
10,0.15,0.2,0.32,0.29,0.01
100,0.55,0.51,0.43,0.46,0.6
1000,0.3,0.29,0.25,0.25,0.39
1.0,0.33,0.88,0.55,0.37,0.12
2.0,0.46,0.12,0.43,0.46,0.45
4.0,0.21,0.0,0.02,0.17,0.43
fixed,0.42,0.46,0.44,0.45,0.45
max,0.58,0.54,0.56,0.55,0.55
L0,0.35,0.2,0.2,0.16,0.28
L1,0.21,0.5,0.42,0.49,0.39
L2,0.44,0.3,0.38,0.35,0.33
