,alldim,dim8,dim16,dim32,dim64
H1,0.28,0.21,0.24,0.24,0.22
H2,0.07,0.22,0.21,0.26,0.21
H3,0.44,0.3,0.28,0.28,0.27
H4,0.21,0.27,0.27,0.22,0.3
A,0.56,0.56,0.55,0.51,0.49
B,0.44,0.44,0.45,0.49,0.51
8,0.07,1.0,0.0,0.0,0.0
16,0.28,0.0,1.0,0.0,0.0
32,0.33,0.0,0.0,1.0,0.0
64,0.32,0.0,0.0,0.0,1.0
10,0.25,0.11,0.26,0.4,0.02
100,0.58,0.51,0.51,0.42,0.58
1000,0.17,0.38,0.23,0.18,0.4
1.0,0.25,0.79,0.33,0.26,0.07
2.0,0.51,0.2,0.52,0.53,0.42
4.0,0.24,0.01,0.15,0.21,0.51
fixed,0.46,0.42,0.49,0.49,0.5
max,0.54,0.58,0.51,0.51,0.5
L0,0.08,0.19,0.2,0.07,0.24
L1,0.54,0.47,0.43,0.43,0.4
L2,0.38,0.34,0.37,0.5,0.36
