,alldim,dim8,dim16,dim32,dim64
H1,0.04,0.06,0.04,0.06,0.14
H2,0.06,0.08,0.02,0.1,0.22
H3,0.26,0.26,0.2,0.38,0.38
H4,0.64,0.6,0.74,0.46,0.26
A,0.4,0.54,0.44,0.46,0.58
B,0.6,0.46,0.56,0.54,0.42
8,0.04,1.0,0.0,0.0,0.0
16,0.3,0.0,1.0,0.0,0.0
32,0.48,0.0,0.0,1.0,0.0
64,0.18,0.0,0.0,0.0,1.0
10,0.0,0.08,0.02,0.0,0.0
100,0.6,0.52,0.52,0.7,0.66
1000,0.4,0.4,0.46,0.3,0.34
1.0,0.3,0.86,0.48,0.34,0.04
2.0,0.46,0.1,0.52,0.5,0.44
4.0,0.24,0.04,0.0,0.16,0.52
fixed,0.5,0.48,0.36,0.48,0.46
max,0.5,0.52,0.64,0.52,0.54
L0,0.2,0.26,0.24,0.2,0.16
L1,0.5,0.3,0.32,0.42,0.54
L2,0.3,0.44,0.44,0.38,0.3
