,alldim,dim8,dim16,dim32,dim64
H1,0.3,0.26,0.22,0.18,0.34
H2,0.24,0.34,0.26,0.28,0.22
H3,0.28,0.28,0.32,0.3,0.26
H4,0.18,0.12,0.2,0.24,0.18
A,1.0,1.0,1.0,1.0,1.0
8,0.12,1.0,0.0,0.0,0.0
16,0.1,0.0,1.0,0.0,0.0
32,0.32,0.0,0.0,1.0,0.0
64,0.46,0.0,0.0,0.0,1.0
10,0.22,0.44,0.24,0.2,0.04
100,0.52,0.52,0.68,0.56,0.6
1000,0.26,0.04,0.08,0.24,0.36
1.0,0.56,0.46,0.42,0.5,0.52
2.0,0.28,0.36,0.34,0.36,0.24
4.0,0.16,0.18,0.24,0.14,0.24
fixed,0.28,0.4,0.42,0.28,0.32
max,0.72,0.6,0.58,0.72,0.68
L0,0.36,0.1,0.22,0.36,0.36
L1,0.44,0.54,0.38,0.3,0.36
L2,0.2,0.36,0.4,0.34,0.28
