,alldim,dim8,dim16,dim32,dim64
H1,0.12,0.46,0.16,0.14,0.18
H2,0.22,0.26,0.26,0.38,0.2
H3,0.34,0.28,0.36,0.22,0.24
H4,0.32,0.0,0.22,0.26,0.38
A,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,0.0,0.0
16,0.28,0.0,1.0,0.0,0.0
32,0.36,0.0,0.0,1.0,0.0
64,0.36,0.0,0.0,0.0,1.0
10,0.1,0.02,0.1,0.16,0.0
100,0.46,0.54,0.5,0.36,0.46
1000,0.44,0.44,0.4,0.48,0.54
1.0,0.5,0.5,0.62,0.36,0.36
2.0,0.32,0.22,0.32,0.44,0.24
4.0,0.18,0.28,0.06,0.2,0.4
fixed,0.18,0.56,0.42,0.28,0.36
max,0.82,0.44,0.58,0.72,0.64
L0,0.06,0.12,0.14,0.12,0.16
L1,0.38,0.56,0.54,0.36,0.36
L2,0.56,0.32,0.32,0.52,0.48
