,alldim,dim8,dim16,dim32,dim64
H1,0.16,0.46,0.22,0.16,0.16
H2,0.16,0.26,0.22,0.32,0.22
H3,0.38,0.28,0.36,0.24,0.26
H4,0.3,0.0,0.2,0.28,0.36
A,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,0.0,0.0,0.0
16,0.18,0.0,1.0,0.0,0.0
32,0.46,0.0,0.0,1.0,0.0
64,0.36,0.0,0.0,0.0,1.0
10,0.16,0.02,0.08,0.18,0.0
100,0.36,0.54,0.56,0.38,0.46
1000,0.48,0.44,0.36,0.44,0.54
1.0,0.42,0.5,0.58,0.38,0.34
2.0,0.36,0.22,0.34,0.4,0.26
4.0,0.22,0.28,0.08,0.22,0.4
fixed,0.26,0.56,0.4,0.26,0.32
max,0.74,0.44,0.6,0.74,0.68
L0,0.06,0.12,0.1,0.08,0.16
L1,0.42,0.56,0.56,0.38,0.38
L2,0.52,0.32,0.34,0.54,0.46
