,alldim,dim8,dim16,dim32,dim64
H1,0.2,0.16,0.14,0.1,0.18
H2,0.24,0.12,0.26,0.44,0.28
H3,0.14,0.28,0.24,0.32,0.18
H4,0.42,0.44,0.36,0.14,0.36
A,0.22,0.54,0.58,0.4,0.64
B,0.78,0.46,0.42,0.6,0.36
8,0.12,1.0,0.0,0.0,0.0
16,0.42,0.0,1.0,0.0,0.0
32,0.26,0.0,0.0,1.0,0.0
64,0.2,0.0,0.0,0.0,1.0
10,0.26,0.14,0.34,0.3,0.0
100,0.42,0.6,0.42,0.46,0.58
1000,0.32,0.26,0.24,0.24,0.42
1.0,0.48,0.96,0.54,0.36,0.06
2.0,0.38,0.04,0.44,0.5,0.5
4.0,0.14,0.0,0.02,0.14,0.44
fixed,0.36,0.54,0.44,0.44,0.48
max,0.64,0.46,0.56,0.56,0.52
L0,0.48,0.2,0.28,0.18,0.26
L1,0.32,0.52,0.46,0.38,0.42
L2,0.2,0.28,0.26,0.44,0.32
