,alldim,dim8,dim16,dim32,dim64
H1,0.24,0.12,0.18,0.16,0.18
H2,0.14,0.12,0.24,0.38,0.36
H3,0.44,0.28,0.22,0.24,0.24
H4,0.18,0.48,0.36,0.22,0.22
A,0.78,0.52,0.5,0.46,0.54
B,0.22,0.48,0.5,0.54,0.46
8,0.1,1.0,0.0,0.0,0.0
16,0.18,0.0,1.0,0.0,0.0
32,0.42,0.0,0.0,1.0,0.0
64,0.3,0.0,0.0,0.0,1.0
10,0.12,0.1,0.32,0.46,0.0
100,0.54,0.6,0.5,0.38,0.72
1000,0.34,0.3,0.18,0.16,0.28
1.0,0.28,0.96,0.34,0.26,0.02
2.0,0.3,0.04,0.52,0.52,0.46
4.0,0.42,0.0,0.14,0.22,0.52
fixed,0.5,0.46,0.46,0.5,0.58
max,0.5,0.54,0.54,0.5,0.42
L0,0.0,0.18,0.2,0.02,0.26
L1,0.4,0.46,0.48,0.54,0.42
L2,0.6,0.36,0.32,0.44,0.32
