,alldim,dim8,dim16,dim32,dim64
H1,0.3,0.22,0.28,0.26,0.2
H2,0.26,0.22,0.28,0.14,0.18
H3,0.34,0.24,0.28,0.38,0.48
H4,0.1,0.32,0.16,0.22,0.14
A,0.54,0.52,0.44,0.56,0.44
B,0.46,0.48,0.56,0.44,0.56
8,0.02,1.0,0.0,0.0,0.0
16,0.22,0.0,1.0,0.0,0.0
32,0.4,0.0,0.0,1.0,0.0
64,0.36,0.0,0.0,0.0,1.0
10,0.22,0.4,0.22,0.34,0.08
100,0.48,0.54,0.58,0.4,0.5
1000,0.3,0.06,0.2,0.26,0.42
1.0,0.16,0.8,0.22,0.16,0.08
2.0,0.46,0.2,0.64,0.36,0.38
4.0,0.38,0.0,0.14,0.48,0.54
fixed,0.56,0.4,0.48,0.54,0.52
max,0.44,0.6,0.52,0.46,0.48
L0,0.26,0.06,0.1,0.14,0.38
L1,0.46,0.52,0.4,0.42,0.4
L2,0.28,0.42,0.5,0.44,0.22
