,alldim,dim8,dim16,dim32,dim64
H1,0.36,0.18,0.28,0.42,0.32
H2,0.12,0.24,0.2,0.12,0.24
H3,0.42,0.22,0.3,0.32,0.26
H4,0.1,0.36,0.22,0.14,0.18
A,0.44,0.52,0.4,0.44,0.48
B,0.56,0.48,0.6,0.56,0.52
8,0.02,1.0,0.0,0.0,0.0
16,0.2,0.0,1.0,0.0,0.0
32,0.48,0.0,0.0,1.0,0.0
64,0.3,0.0,0.0,0.0,1.0
10,0.28,0.4,0.28,0.26,0.1
100,0.38,0.52,0.5,0.36,0.38
1000,0.34,0.08,0.22,0.38,0.52
1.0,0.16,0.82,0.18,0.12,0.06
2.0,0.32,0.18,0.66,0.42,0.42
4.0,0.52,0.0,0.16,0.46,0.52
fixed,0.7,0.46,0.48,0.56,0.52
max,0.3,0.54,0.52,0.44,0.48
L0,0.16,0.1,0.1,0.18,0.4
L1,0.6,0.48,0.6,0.42,0.42
L2,0.24,0.42,0.3,0.4,0.18
